city;city_ascii;state_id;state_name;county_fips;county_name;lat;lng;population;density;source;military;incorporated;timezone;ranking;id
Bridgeport;Bridgeport;CT;Connecticut;9001;Fairfield;41,1918;-73,1954;948918;3485;shape;FALSE;TRUE;America/New_York;2;1840004836
Oklahoma City;Oklahoma City;OK;Oklahoma;40109;Oklahoma;35,4676;-97,5136;947247;413;shape;FALSE;TRUE;America/Chicago;2;1840020428
Buffalo;Buffalo;NY;New York;36029;Erie;42,9018;-78,8487;926607;2446;shape;FALSE;TRUE;America/New_York;2;1840000386
Hartford;Hartford;CT;Connecticut;9003;Hartford;41,7661;-72,6834;918434;2722;shape;FALSE;TRUE;America/New_York;2;1840004773
Fort Worth;Fort Worth;TX;Texas;48439;Tarrant;32,7817;-97,3474;892221;992;shape;FALSE;TRUE;America/Chicago;2;1840020696
Tucson;Tucson;AZ;Arizona;4019;Pima;32,1541;-110,8787;883127;873;shape;FALSE;TRUE;America/Phoenix;2;1840022101
Honolulu;Honolulu;HI;Hawaii;15003;Honolulu;21,3294;-157,846;834138;2214;shape;FALSE;TRUE;Pacific/Honolulu;2;1840013305
McAllen;McAllen;TX;Texas;48215;Hidalgo;26,2252;-98,2467;805270;883;shape;FALSE;TRUE;America/Chicago;2;1840021024
El Paso;El Paso;TX;Texas;48141;El Paso;31,8476;-106,43;798217;1015;shape;FALSE;TRUE;America/Denver;2;1840023252
Omaha;Omaha;NE;Nebraska;31055;Douglas;41,2627;-96,0529;791432;1307;shape;FALSE;TRUE;America/Chicago;2;1840009315
Albuquerque;Albuquerque;NM;New Mexico;35001;Bernalillo;35,1054;-106,6465;762853;1155;shape;FALSE;TRUE;America/Denver;2;1840019176
Birmingham;Birmingham;AL;Alabama;1073;Jefferson;33,5279;-86,7971;753721;553;shape;FALSE;TRUE;America/Chicago;2;1840006507
Sarasota;Sarasota;FL;Florida;12115;Sarasota;27,3387;-82,5432;727388;1518;shape;FALSE;TRUE;America/New_York;2;1840015988
Dayton;Dayton;OH;Ohio;39113;Montgomery;39,7805;-84,2003;723844;971;shape;FALSE;TRUE;America/New_York;2;1840034249
Rochester;Rochester;NY;New York;36055;Monroe;43,168;-77,6162;720189;2227;shape;FALSE;TRUE;America/New_York;2;1840000373
Fresno;Fresno;CA;California;6019;Fresno;36,783;-119,7939;702486;1763;shape;FALSE;TRUE;America/Los_Angeles;2;1840020319
Tulsa;Tulsa;OK;Oklahoma;40143;Tulsa;36,1283;-95,9042;698349;786;shape;FALSE;TRUE;America/Chicago;2;1840021672
Allentown;Allentown;PA;Pennsylvania;42077;Lehigh;40,5961;-75,4756;688658;2664;shape;FALSE;TRUE;America/New_York;2;1840001044
Concord;Concord;CA;California;6013;Contra Costa;37,9722;-122,0016;667250;1633;shape;FALSE;TRUE;America/Los_Angeles;2;1840018905
Cape Coral;Cape Coral;FL;Florida;12071;Lee;26,6443;-81,9957;649339;690;shape;FALSE;TRUE;America/New_York;2;1840015130
Charleston;Charleston;SC;South Carolina;45019;Charleston;32,8168;-79,9687;645413;461;shape;FALSE;TRUE;America/New_York;2;1840015163
Colorado Springs;Colorado Springs;CO;Colorado;8041;El Paso;38,8674;-104,7605;621332;932;shape;FALSE;TRUE;America/Denver;2;1840018825
Springfield;Springfield;MA;Massachusetts;25013;Hampden;42,1155;-72,5395;615728;1861;shape;FALSE;TRUE;America/New_York;2;1840000466
Grand Rapids;Grand Rapids;MI;Michigan;26081;Kent;42,9619;-85,6562;615273;1719;shape;FALSE;TRUE;America/Detroit;2;1840002928
Ogden;Ogden;UT;Utah;49057;Weber;41,2279;-111,9682;615015;1221;shape;FALSE;TRUE;America/Denver;2;1840020135
Columbia;Columbia;SC;South Carolina;45079;Richland;34,0378;-80,9036;609689;378;shape;FALSE;TRUE;America/New_York;2;1840014730
Baton Rouge;Baton Rouge;LA;Louisiana;22033;East Baton Rouge;30,442;-91,1311;605449;993;shape;FALSE;TRUE;America/Chicago;2;1840013941
Knoxville;Knoxville;TN;Tennessee;47093;Knox;35,9692;-83,9496;603685;733;shape;FALSE;TRUE;America/New_York;2;1840014486
Mission Viejo;Mission Viejo;CA;California;6059;Orange;33,6096;-117,6551;600802;2091;shape;FALSE;TRUE;America/Los_Angeles;2;1840020580
Albany;Albany;NY;New York;36001;Albany;42,6664;-73,7987;590823;1747;shape;FALSE;TRUE;America/New_York;2;1840000417
Akron;Akron;OH;Ohio;39153;Summit;41,0798;-81,5219;570375;1230;shape;FALSE;TRUE;America/New_York;2;1840000791
New Haven;New Haven;CT;Connecticut;9009;New Haven;41,3113;-72,9246;566683;2693;shape;FALSE;TRUE;America/New_York;2;1840004850
Provo;Provo;UT;Utah;49049;Utah;40,2457;-111,6457;563884;1082;shape;FALSE;TRUE;America/Denver;2;1840020174
Bakersfield;Bakersfield;CA;California;6029;Kern;35,3529;-119,0359;556892;979;shape;FALSE;TRUE;America/Los_Angeles;2;1840019148
Murrieta;Murrieta;CA;California;6065;Riverside;33,5719;-117,1909;524133;1310;shape;FALSE;TRUE;America/Los_Angeles;2;1840020553
Des Moines;Des Moines;IA;Iowa;19153;Polk;41,5725;-93,6105;519180;943;shape;FALSE;TRUE;America/Chicago;2;1840007069
Worcester;Worcester;MA;Massachusetts;25027;Worcester;42,2705;-71,8079;516483;1913;shape;FALSE;TRUE;America/New_York;2;1840000434
Mesa;Mesa;AZ;Arizona;4013;Maricopa;33,4015;-111,7178;508918;1416;shape;FALSE;TRUE;America/Phoenix;2;1840020566
Toledo;Toledo;OH;Ohio;39095;Lucas;41,6638;-83,5827;498645;1319;shape;FALSE;TRUE;America/New_York;2;1840000572
Palm Bay;Palm Bay;FL;Florida;12009;Brevard;27,9631;-80,6593;496640;508;shape;FALSE;TRUE;America/New_York;2;1840015094
Staten Island;Staten Island;NY;New York;36085;Richmond;40,5834;-74,1496;495747;3286;point;FALSE;TRUE;America/New_York;2;1840034032
Wichita;Wichita;KS;Kansas;20173;Sedgwick;37,6895;-97,3443;484715;930;shape;FALSE;TRUE;America/Chicago;2;1840001686
Harrisburg;Harrisburg;PA;Pennsylvania;42043;Dauphin;40,2752;-76,8843;472261;2342;shape;FALSE;TRUE;America/New_York;2;1840001288
Long Beach;Long Beach;CA;California;6037;Los Angeles;33,7977;-118,167;462081;3518;shape;FALSE;TRUE;America/Los_Angeles;2;1840020490
Little Rock;Little Rock;AR;Arkansas;5119;Pulaski;34,7256;-92,3577;446814;637;shape;FALSE;TRUE;America/Chicago;2;1840015509
Madison;Madison;WI;Wisconsin;55025;Dane;43,0822;-89,393;445499;1253;shape;FALSE;TRUE;America/Chicago;2;1840002915
Greenville;Greenville;SC;South Carolina;45045;Greenville;34,8354;-82,3646;441303;905;shape;FALSE;TRUE;America/New_York;2;1840013501
Reno;Reno;NV;Nevada;32031;Washoe;39,5497;-119,8483;440547;890;shape;FALSE;TRUE;America/Los_Angeles;2;1840020121
Port St. Lucie;Port St. Lucie;FL;Florida;12111;St. Lucie;27,2796;-80,3884;435182;634;shape;FALSE;TRUE;America/New_York;2;1840015119
