city;city_ascii;state_id;state_name;county_fips;county_name;lat;lng;population;density;source;military;incorporated;timezone;ranking;id
Fayetteville;Fayetteville;AR;Arkansas;05143;Washington;36,0714;-94,1661;350995;617;shape;FALSE;TRUE;America/Chicago;2;1840013368
Jackson;Jackson;MS;Mississippi;28049;Hinds;32,3157;-90,2125;350373;566;shape;FALSE;TRUE;America/Chicago;2;1840014895
Victorville;Victorville;CA;California;06071;San Bernardino;34,5277;-117,3536;350275;644;shape;FALSE;TRUE;America/Los_Angeles;2;1840021731
Bonita Springs;Bonita Springs;FL;Florida;12071;Lee;26,3558;-81,7859;347581;580;shape;FALSE;TRUE;America/New_York;2;1840014227
Greensboro;Greensboro;NC;North Carolina;37081;Guilford;36,0956;-79,8271;343505;877;shape;FALSE;TRUE;America/New_York;2;1840013356
Corpus Christi;Corpus Christi;TX;Texas;48355;Nueces;27,7254;-97,3767;343031;776;shape;FALSE;TRUE;America/Chicago;2;1840019718
Flint;Flint;MI;Michigan;26049;Genesee;43,0236;-83,6921;339283;1108;shape;FALSE;TRUE;America/Detroit;2;1840002949
Fayetteville;Fayetteville;NC;North Carolina;37051;Cumberland;35,085;-78,9772;333366;550;shape;FALSE;TRUE;America/New_York;2;1840013490
Santa Ana;Santa Ana;CA;California;06059;Orange;33,7367;-117,8819;332610;4697;shape;FALSE;TRUE;America/Los_Angeles;2;1840021964
Fort Wayne;Fort Wayne;IN;Indiana;18003;Allen;41,0888;-85,1436;329170;935;shape;FALSE;TRUE;America/Indiana/Indianapolis;2;1840008261
Mobile;Mobile;AL;Alabama;01097;Mobile;30,6782;-88,1162;328610;525;shape;FALSE;TRUE;America/Chicago;2;1840006009
Lansing;Lansing;MI;Michigan;26065;Ingham;42,7142;-84,5601;326380;1158;shape;FALSE;TRUE;America/Detroit;2;1840003102
Ann Arbor;Ann Arbor;MI;Michigan;26161;Washtenaw;42,2759;-83,731;323593;1657;shape;FALSE;TRUE;America/Detroit;2;1840003172
Huntsville;Huntsville;AL;Alabama;01089;Madison;34,6981;-86,6412;317279;353;shape;FALSE;TRUE;America/Chicago;2;1840005061
Lexington;Lexington;KY;Kentucky;21067;Fayette;38,0423;-84,4587;316743;438;shape;FALSE;TRUE;America/New_York;2;1840015211
Santa Rosa;Santa Rosa;CA;California;06097;Sonoma;38,4458;-122,7067;313875;1619;shape;FALSE;TRUE;America/Los_Angeles;2;1840021488
Antioch;Antioch;CA;California;06013;Contra Costa;37,9787;-121,796;313532;1475;shape;FALSE;TRUE;America/Los_Angeles;2;1840018903
Asheville;Asheville;NC;North Carolina;37021;Buncombe;35,5707;-82,5537;312618;783;shape;FALSE;TRUE;America/New_York;2;1840013411
Henderson;Henderson;NV;Nevada;32003;Clark;36,0133;-115,0381;309955;1126;shape;FALSE;TRUE;America/Los_Angeles;2;1840020361
St. Paul;St. Paul;MN;Minnesota;27123;Ramsey;44,9478;-93,1039;305877;2272;shape;FALSE;TRUE;America/Chicago;2;1840008940
Fort Collins;Fort Collins;CO;Colorado;08069;Larimer;40,5477;-105,0656;304657;1120;shape;FALSE;TRUE;America/Denver;2;1840020151
Lakeland;Lakeland;FL;Florida;12105;Polk;28,0557;-81,9545;300268;643;shape;FALSE;TRUE;America/New_York;2;1840015108
Springfield;Springfield;MO;Missouri;29077;Greene;37,1943;-93,2916;295230;785;shape;FALSE;TRUE;America/Chicago;2;1840009904
The Woodlands;The Woodlands;TX;Texas;48339;Montgomery;30,1738;-95,5134;294943;1020;shape;FALSE;FALSE;America/Chicago;2;1840019585
Shreveport;Shreveport;LA;Louisiana;22017;Caddo;32,4653;-93,7955;291388;680;shape;FALSE;TRUE;America/Chicago;2;1840015768
Trenton;Trenton;NJ;New Jersey;34021;Mercer;40,2237;-74,7641;291085;4248;shape;FALSE;TRUE;America/New_York;2;1840001383
Plano;Plano;TX;Texas;48085;Collin;33,0502;-96,7486;288870;1555;shape;FALSE;TRUE;America/Chicago;2;1840020662
Round Lake Beach;Round Lake Beach;IL;Illinois;17097;Lake;42,3791;-88,0811;287012;2090;shape;FALSE;TRUE;America/Chicago;2;1840011171
South Bend;South Bend;IN;Indiana;18141;St. Joseph;41,6767;-86,2696;285569;944;shape;FALSE;TRUE;America/Indiana/Indianapolis;2;1840009241
Savannah;Savannah;GA;Georgia;13051;Chatham;32,0286;-81,1821;284429;525;shape;FALSE;TRUE;America/New_York;2;1840015830
Newark;Newark;NJ;New Jersey;34013;Essex;40,7245;-74,1725;281917;4508;shape;FALSE;TRUE;America/New_York;2;1840002791
Davenport;Davenport;IA;Iowa;19163;Scott;41,5565;-90,6053;281895;618;shape;FALSE;TRUE;America/Chicago;2;1840007081
Myrtle Beach;Myrtle Beach;SC;South Carolina;45051;Horry;33,7094;-78,8844;281180;552;shape;FALSE;TRUE;America/New_York;2;1840014717
Lincoln;Lincoln;NE;Nebraska;31109;Lancaster;40,8099;-96,6784;280780;1131;shape;FALSE;TRUE;America/Chicago;2;1840009357
Rockford;Rockford;IL;Illinois;17201;Winnebago;42,2596;-89,064;280337;881;shape;FALSE;TRUE;America/Chicago;2;1840009132
Reading;Reading;PA;Pennsylvania;42011;Berks;40,34;-75,9267;278693;3464;shape;FALSE;TRUE;America/New_York;2;1840001185
Canton;Canton;OH;Ohio;39151;Stark;40,8078;-81,3676;277769;1039;shape;FALSE;TRUE;America/New_York;2;1840000963
Irvine;Irvine;CA;California;06059;Orange;33,6772;-117,7738;272694;1604;shape;FALSE;TRUE;America/Los_Angeles;2;1840019325
Eugene;Eugene;OR;Oregon;41039;Lane;44,0564;-123,1174;270013;1489;shape;FALSE;TRUE;America/Los_Angeles;2;1840020007
Chula Vista;Chula Vista;CA;California;06073;San Diego;32,6281;-117,0144;268779;2090;shape;FALSE;TRUE;America/Los_Angeles;2;1840019350
St. Petersburg;St. Petersburg;FL;Florida;12103;Pinellas;27,7931;-82,6652;264001;1648;shape;FALSE;TRUE;America/New_York;2;1840015977
Salem;Salem;OR;Oregon;41047;Marion;44,9233;-123,0244;263571;1359;shape;FALSE;TRUE;America/Los_Angeles;2;1840021224
Lafayette;Lafayette;LA;Louisiana;22055;Lafayette;30,2082;-92,0325;263551;876;shape;FALSE;TRUE;America/Chicago;2;1840015044
Laredo;Laredo;TX;Texas;48479;Webb;27,5625;-99,4874;262774;944;shape;FALSE;TRUE;America/Chicago;2;1840021002
Jersey City;Jersey City;NJ;New Jersey;34017;Hudson;40,7184;-74,0686;262652;6878;shape;FALSE;TRUE;America/New_York;2;1840003600
Santa Clarita;Santa Clarita;CA;California;06037;Los Angeles;34,4175;-118,4964;260999;1159;shape;FALSE;TRUE;America/Los_Angeles;2;1840021864
Aguadilla;Aguadilla;PR;Puerto Rico;72005;Aguadilla;18,4382;-67,1537;260331;1681;shape;FALSE;FALSE;America/Puerto_Rico;2;1630035605
Wilmington;Wilmington;NC;North Carolina;37129;New Hanover;34,2099;-77,8866;260170;917;shape;FALSE;TRUE;America/New_York;2;1840015576
Lubbock;Lubbock;TX;Texas;48303;Lubbock;33,5657;-101,8879;257835;737;shape;FALSE;TRUE;America/Chicago;2;1840020604
Chandler;Chandler;AZ;Arizona;04013;Maricopa;33,2825;-111,8514;257076;1520;shape;FALSE;TRUE;America/Phoenix;2;1840019309
Scottsdale;Scottsdale;AZ;Arizona;04013;Maricopa;33,6872;-111,8651;254995;535;shape;FALSE;TRUE;America/Phoenix;2;1840021940
Tallahassee;Tallahassee;FL;Florida;12073;Leon;30,4551;-84,2527;254250;737;shape;FALSE;TRUE;America/New_York;2;1840015913
Montgomery;Montgomery;AL;Alabama;01101;Montgomery;32,3482;-86,2668;253540;480;shape;FALSE;TRUE;America/Chicago;2;1840008353
Peoria;Peoria;IL;Illinois;17143;Peoria;40,752;-89,6154;253461;906;shape;FALSE;TRUE;America/Chicago;2;1840009373
Glendale;Glendale;AZ;Arizona;04013;Maricopa;33,5791;-112,2311;250290;1568;shape;FALSE;TRUE;America/Phoenix;2;1840020563
Columbus;Columbus;GA;Georgia;13215;Muscogee;32,51;-84,8771;249510;348;shape;FALSE;TRUE;America/New_York;2;1840014887
Anchorage;Anchorage;AK;Alaska;02020;Anchorage;61,1508;-149,1091;248902;66;shape;FALSE;TRUE;America/Anchorage;2;1840023385
Gilbert;Gilbert;AZ;Arizona;04013;Maricopa;33,31;-111,7463;248349;1398;shape;FALSE;TRUE;America/Phoenix;2;1840021947
North Las Vegas;North Las Vegas;NV;Nevada;32003;Clark;36,2883;-115,0888;247248;942;shape;FALSE;TRUE;America/Los_Angeles;2;1840020363
Avondale;Avondale;AZ;Arizona;04013;Maricopa;33,3873;-112,3235;247103;703;shape;FALSE;TRUE;America/Phoenix;2;1840019310
McKinney;McKinney;TX;Texas;48085;Collin;33,2016;-96,667;244536;1102;shape;FALSE;TRUE;America/Chicago;2;1840020657
Norfolk;Norfolk;VA;Virginia;51710;Norfolk;36,8945;-76,259;244300;1770;shape;FALSE;TRUE;America/New_York;2;1840003869
Chesapeake;Chesapeake;VA;Virginia;51550;Chesapeake;36,6778;-76,3023;242647;276;shape;FALSE;TRUE;America/New_York;2;1840003874
Kennewick;Kennewick;WA;Washington;53005;Benton;46,1978;-119,1732;240876;1162;shape;FALSE;TRUE;America/Los_Angeles;2;1840018481
Winter Haven;Winter Haven;FL;Florida;12105;Polk;28,0118;-81,7014;240768;510;shape;FALSE;TRUE;America/New_York;2;1840015970
Irving;Irving;TX;Texas;48113;Dallas;32,8583;-96,9702;240475;1386;shape;FALSE;TRUE;America/Chicago;2;1840019438
Garland;Garland;TX;Texas;48113;Dallas;32,91;-96,6304;238622;1612;shape;FALSE;TRUE;America/Chicago;2;1840020707
York;York;PA;Pennsylvania;42133;York;39,9651;-76,7315;236818;3211;shape;FALSE;TRUE;America/New_York;2;1840001472
Concord;Concord;NC;North Carolina;37025;Cabarrus;35,3933;-80,6369;236626;572;shape;FALSE;TRUE;America/New_York;2;1840014559
Arlington;Arlington;VA;Virginia;51013;Arlington;38,8786;-77,1011;236434;3511;shape;FALSE;FALSE;America/New_York;2;1840006112
Atlantic City;Atlantic City;NJ;New Jersey;34001;Atlantic;39,3797;-74,4527;236314;1356;shape;FALSE;TRUE;America/New_York;2;1840003798
Visalia;Visalia;CA;California;06107;Tulare;36,3276;-119,3269;235184;1354;shape;FALSE;TRUE;America/Los_Angeles;2;1840021639
Fremont;Fremont;CA;California;06001;Alameda;37,5265;-121,9843;234829;1157;shape;FALSE;TRUE;America/Los_Angeles;2;1840020292
Hialeah;Hialeah;FL;Florida;12086;Miami-Dade;25,8696;-80,3045;233876;4184;shape;FALSE;TRUE;America/New_York;2;1840015157
Nashua;Nashua;NH;New Hampshire;33011;Hillsborough;42,7491;-71,491;231409;1115;shape;FALSE;TRUE;America/New_York;2;1840002984
Killeen;Killeen;TX;Texas;48027;Bell;31,0753;-97,7297;231312;1045;shape;FALSE;TRUE;America/Chicago;2;1840020854
Gulfport;Gulfport;MS;Mississippi;28047;Harrison;30,4274;-89,0704;230156;497;shape;FALSE;TRUE;America/Chicago;2;1840013947
Brownsville;Brownsville;TX;Texas;48061;Cameron;25,9975;-97,458;229387;534;shape;FALSE;TRUE;America/Matamoros;2;1840019743
Evansville;Evansville;IN;Indiana;18163;Vanderburgh;37,9881;-87,5341;227338;965;shape;FALSE;TRUE;America/Chicago;2;1840013730
Appleton;Appleton;WI;Wisconsin;55087;Outagamie;44,278;-88,3892;225728;1150;shape;FALSE;TRUE;America/Chicago;2;1840002400
Navarre;Navarre;FL;Florida;12113;Santa Rosa;30,4174;-86,8907;223951;625;shape;FALSE;FALSE;America/Chicago;2;1840027017
Bel Air South;Bel Air South;MD;Maryland;24025;Harford;39,5022;-76,3113;222834;998;shape;FALSE;TRUE;America/New_York;2;1840073592
Kalamazoo;Kalamazoo;MI;Michigan;26077;Kalamazoo;42,2749;-85,5882;220561;1189;shape;FALSE;TRUE;America/Detroit;2;1840003185
Bremerton;Bremerton;WA;Washington;53035;Kitsap;47,5436;-122,7121;219538;560;shape;FALSE;TRUE;America/Los_Angeles;2;1840018410
Spring Valley;Spring Valley;NV;Nevada;32003;Clark;36,0952;-115,2636;218697;2378;shape;FALSE;FALSE;America/Los_Angeles;2;1840033832
San Bernardino;San Bernardino;CA;California;06071;San Bernardino;34,1416;-117,2943;216784;1347;shape;FALSE;TRUE;America/Los_Angeles;2;1840021728
Roanoke;Roanoke;VA;Virginia;51770;Roanoke;37,2785;-79,9581;216388;900;shape;FALSE;TRUE;America/New_York;2;1840003858
Spartanburg;Spartanburg;SC;South Carolina;45083;Spartanburg;34,9442;-81,9251;216021;720;shape;FALSE;TRUE;America/New_York;2;1840015482
Tacoma;Tacoma;WA;Washington;53053;Pierce;47,2431;-122,4531;215766;1675;shape;FALSE;TRUE;America/Los_Angeles;2;1840021129
Enterprise;Enterprise;NV;Nevada;32003;Clark;36,0091;-115,2278;214591;1255;shape;FALSE;FALSE;America/Los_Angeles;2;1840033827
Green Bay;Green Bay;WI;Wisconsin;55009;Brown;44,5148;-87,9895;214438;887;shape;FALSE;TRUE;America/Chicago;2;1840002344
Portland;Portland;ME;Maine;23005;Cumberland;43,6773;-70,2715;213986;1195;shape;FALSE;TRUE;America/New_York;2;1840000327
Thousand Oaks;Thousand Oaks;CA;California;06111;Ventura;34,1914;-118,8756;212806;891;shape;FALSE;TRUE;America/Los_Angeles;2;1840021844
Fontana;Fontana;CA;California;06071;San Bernardino;34,0968;-117,4599;212704;1906;shape;FALSE;TRUE;America/Los_Angeles;2;1840020402
Hickory;Hickory;NC;North Carolina;37035;Catawba;35,741;-81,3223;211042;515;shape;FALSE;TRUE;America/New_York;2;1840014524
Moreno Valley;Moreno Valley;CA;California;06065;Riverside;33,9244;-117,2045;208751;1570;shape;FALSE;TRUE;America/Los_Angeles;2;1840020552
Deltona;Deltona;FL;Florida;12127;Volusia;28,905;-81,2137;205914;950;shape;FALSE;TRUE;America/New_York;2;1840015072
Fargo;Fargo;ND;North Dakota;38017;Cass;46,8651;-96,8292;205472;957;shape;FALSE;TRUE;America/Chicago;2;1840000177
Santa Barbara;Santa Barbara;CA;California;06083;Santa Barbara;34,4285;-119,7202;205215;1799;shape;FALSE;TRUE;America/Los_Angeles;2;1840021829
College Station;College Station;TX;Texas;48041;Brazos;30,5852;-96,2959;203848;873;shape;FALSE;TRUE;America/Chicago;2;1840019570
Gainesville;Gainesville;FL;Florida;12001;Alachua;29,6804;-82,3459;203541;816;shape;FALSE;TRUE;America/New_York;2;1840014022
Amarillo;Amarillo;TX;Texas;48375;Potter;35,1984;-101,8316;202902;751;shape;FALSE;TRUE;America/Chicago;2;1840019156
Norwich;Norwich;CT;Connecticut;09011;New London;41,5495;-72,0882;201726;538;shape;FALSE;TRUE;America/New_York;2;1840004828
Olympia;Olympia;WA;Washington;53067;Thurston;47,0417;-122,8959;200836;1108;shape;FALSE;TRUE;America/Los_Angeles;2;1840019865
Yonkers;Yonkers;NY;New York;36119;Westchester;40,9466;-73,8673;200183;4292;shape;FALSE;TRUE;America/New_York;2;1840003478
Huntington Beach;Huntington Beach;CA;California;06059;Orange;33,696;-118,0018;199778;2857;shape;FALSE;TRUE;America/Los_Angeles;2;1840020578
Glendale;Glendale;CA;California;06037;Los Angeles;34,1819;-118,2468;199357;2525;shape;FALSE;TRUE;America/Los_Angeles;2;1840020483
Aurora;Aurora;IL;Illinois;17089;Kane;41,7638;-88,2902;199326;1709;shape;FALSE;TRUE;America/Chicago;2;1840007034
Huntington;Huntington;WV;West Virginia;54011;Cabell;38,4109;-82,4345;199133;1098;shape;FALSE;TRUE;America/New_York;2;1840006211
Sunrise Manor;Sunrise Manor;NV;Nevada;32003;Clark;36,1783;-115,0487;198187;2269;shape;FALSE;FALSE;America/Los_Angeles;2;1840033833
North Port;North Port;FL;Florida;12115;Sarasota;27,0576;-82,1977;195848;267;shape;FALSE;TRUE;America/New_York;2;1840015120
Hagerstown;Hagerstown;MD;Maryland;24043;Washington;39,6401;-77,7217;194602;1270;shape;FALSE;TRUE;America/New_York;2;1840005613
Grand Prairie;Grand Prairie;TX;Texas;48113;Dallas;32,6871;-97,0208;193835;1031;shape;FALSE;TRUE;America/Chicago;2;1840020709
Overland Park;Overland Park;KS;Kansas;20091;Johnson;38,887;-94,687;193412;993;shape;FALSE;TRUE;America/Chicago;2;1840003834
Paradise;Paradise;NV;Nevada;32003;Clark;36,0872;-115,1355;193150;1758;shape;FALSE;FALSE;America/Los_Angeles;2;1840033743
Tempe;Tempe;AZ;Arizona;04013;Maricopa;33,3881;-111,9319;191607;1852;shape;FALSE;TRUE;America/Phoenix;2;1840021942
Salinas;Salinas;CA;California;06053;Monterey;36,6883;-121,6317;190345;2564;shape;FALSE;TRUE;America/Los_Angeles;2;1840021632
Erie;Erie;PA;Pennsylvania;42049;Erie;42,1167;-80,0733;189513;1948;shape;FALSE;TRUE;America/New_York;2;1840000478
Cedar Rapids;Cedar Rapids;IA;Iowa;19113;Linn;41,9662;-91,6783;188618;712;shape;FALSE;TRUE;America/Chicago;2;1840000471
Waterbury;Waterbury;CT;Connecticut;09009;New Haven;41,5582;-73,0361;188607;1460;shape;FALSE;TRUE;America/New_York;2;1840004851
Frisco;Frisco;TX;Texas;48085;Collin;33,156;-96,8216;188387;1059;shape;FALSE;TRUE;America/Chicago;2;1840020654
Waco;Waco;TX;Texas;48309;McLennan;31,5599;-97,1882;186695;599;shape;FALSE;TRUE;America/Chicago;2;1840022140
Gastonia;Gastonia;NC;North Carolina;37071;Gaston;35,2494;-81,1854;184902;572;shape;FALSE;TRUE;America/New_York;2;1840013468
Clarksville;Clarksville;TN;Tennessee;47125;Montgomery;36,5692;-87,3413;183798;606;shape;FALSE;TRUE;America/Chicago;2;1840014421
Vancouver;Vancouver;WA;Washington;53011;Clark;45,6366;-122,5967;182792;1448;shape;FALSE;TRUE;America/Los_Angeles;2;1840021189
Lorain;Lorain;OH;Ohio;39093;Lorain;41,4409;-82,184;182015;1044;shape;FALSE;TRUE;America/New_York;2;1840000644
Nampa;Nampa;ID;Idaho;16027;Canyon;43,5844;-116,5638;181887;1116;shape;FALSE;TRUE;America/Boise;2;1840020041
Fort Lauderdale;Fort Lauderdale;FL;Florida;12011;Broward;26,1412;-80,1464;181818;2029;shape;FALSE;TRUE;America/New_York;2;1840014236
Hemet;Hemet;CA;California;06065;Riverside;33,7341;-116,9969;180380;1116;shape;FALSE;TRUE;America/Los_Angeles;2;1840020550
Newport News;Newport News;VA;Virginia;51700;Newport News;37,1051;-76,5185;179582;1005;shape;FALSE;TRUE;America/New_York;2;1840003862
Ontario;Ontario;CA;California;06071;San Bernardino;34,0393;-117,6064;178194;1376;shape;FALSE;TRUE;America/Los_Angeles;2;1840020410
Rancho Cucamonga;Rancho Cucamonga;CA;California;06071;San Bernardino;34,1247;-117,5667;178060;1714;shape;FALSE;TRUE;America/Los_Angeles;2;1840020411
Vallejo;Vallejo;CA;California;06095;Solano;38,1125;-122,2342;177255;1539;shape;FALSE;TRUE;America/Los_Angeles;2;1840021499
Oceanside;Oceanside;CA;California;06073;San Diego;33,2247;-117,3083;175694;1643;shape;FALSE;TRUE;America/Los_Angeles;2;1840020623
Vero Beach South;Vero Beach South;FL;Florida;12061;Indian River;27,6132;-80,4163;174748;939;shape;FALSE;TRUE;America/New_York;2;1840073853
Ocala;Ocala;FL;Florida;12083;Marion;29,178;-82,1511;174618;490;shape;FALSE;TRUE;America/New_York;2;1840015067
Sioux Falls;Sioux Falls;SD;South Dakota;46099;Minnehaha;43,5396;-96,7311;173921;883;shape;FALSE;TRUE;America/Chicago;2;1840002648
Danbury;Danbury;CT;Connecticut;09001;Fairfield;41,4015;-73,4709;173508;777;shape;FALSE;TRUE;America/New_York;2;1840004837
Elk Grove;Elk Grove;CA;California;06067;Sacramento;38,4161;-121,3842;173370;1594;shape;FALSE;TRUE;America/Los_Angeles;2;1840020245
High Point;High Point;NC;North Carolina;37081;Guilford;35,991;-79,9937;173324;770;shape;FALSE;TRUE;America/New_York;2;1840014479
Garden Grove;Garden Grove;CA;California;06059;Orange;33,7787;-117,9601;172800;3715;shape;FALSE;TRUE;America/Los_Angeles;2;1840020577
Peoria;Peoria;AZ;Arizona;04013;Maricopa;33,7843;-112,2989;172109;377;shape;FALSE;TRUE;America/Phoenix;2;1840020567
Pembroke Pines;Pembroke Pines;FL;Florida;12011;Broward;26,0128;-80,3382;171979;2031;shape;FALSE;TRUE;America/New_York;2;1840015141
Medford;Medford;OR;Oregon;41029;Jackson;42,3372;-122,854;171660;1224;shape;FALSE;TRUE;America/Los_Angeles;2;1840020076
Murfreesboro;Murfreesboro;TN;Tennessee;47149;Rutherford;35,849;-86,4121;169243;869;shape;FALSE;TRUE;America/Chicago;2;1840014495
Cary;Cary;NC;North Carolina;37183;Wake;35,7819;-78,8195;169177;1102;shape;FALSE;TRUE;America/New_York;2;1840016196
Lafayette;Lafayette;IN;Indiana;18157;Tippecanoe;40,3991;-86,8593;168164;953;shape;FALSE;TRUE;America/Indiana/Indianapolis;2;1840008354
